!  transition:                <--             
!
        300193.7619   .8100
!
!  transition:     27, 14, 13 <--   27, 13, 14
!
        300193.7619   .8100
        300193.7619            .8200
        300193.7619   .8100
!
!  transition:     28, 14, 14 <--   28, 13, 15
!
        300197.8155   .8100
        300197.8155            .8200
        300197.8155   .8100
!
!  transition:     28, 14, 15 <--   28, 13, 15
!
        300197.8155   .8100
        300197.8155            .8200
        300197.8155   .8100
!
!  transition:     28, 14, 14 <--   28, 13, 16
!
        300197.8155   .8100
        300197.8155            .8200
        300197.8155   .8100
!
!  transition:     28, 14, 15 <--   28, 13, 16
!
        300197.8155   .8100
        300197.8155            .8200
        300197.8155   .8100
!
!  transition:     29, 14, 15 <--   29, 13, 17
!
        300201.6461   .8100
        300201.6461            .8200
        300201.6461   .8100
!
!  transition:   D 29, 14,    <--   29, 13,   
!
        300201.6461   .8100
        300201.6461            .8200
        300201.6461   .8100
!
!  transition:     29, 14, 16 <--   29, 13, 16
!
        300201.6461   .8100
        300201.6461            .8200
        300201.6461   .8100
!
!  transition:     30, 14, 16 <--   30, 13, 17
!
        300205.2155   .8100
        300205.2155            .8300
        300205.2155   .8100
!
!  transition:     30, 14, 17 <--   30, 13, 17
!
        300205.2155   .8100
        300205.2155            .8300
        300205.2155   .8100
!
!  transition:     30, 14, 16 <--   30, 13, 18
!
        300205.2155   .8100
        300205.2155            .8300
        300205.2155   .8100
!
!  transition:     30, 14, 17 <--   30, 13, 18
!
        300205.2155   .8100
        300205.2155            .8300
        300205.2155   .8100
!
!  transition:     31, 14, 17 <--   31, 13, 19
!
        300208.4842   .8100
        300208.4842            .8200
        300208.4842   .8100
!
!  transition:   D 31, 14,    <--   31, 13,   
!
        300208.4842   .8100
        300208.4842            .8200
        300208.4842   .8100
!
!  transition:     31, 14, 18 <--   31, 13, 18
!
        300208.4842   .8100
        300208.4842            .8200
        300208.4842   .8100
!
!  transition:     32, 14, 19 <--   32, 13, 20
!
        300211.4114   .8100
        300211.4114            .8200
        300211.4114   .8100
!
!  transition:     32, 14, 18 <--   32, 13, 20
!
        300211.4114   .8100
        300211.4114            .8200
        300211.4114   .8100
!
!  transition:     32, 14, 19 <--   32, 13, 19
!
        300211.4114   .8100
        300211.4114            .8200
        300211.4114   .8100
!
!  transition:     32, 14, 18 <--   32, 13, 19
!
        300211.4114   .8100
        300211.4114            .8200
        300211.4114   .8100
!
!  transition:     33, 14, 20 <--   33, 13, 21
!
        300213.9553   .8100
        300213.9553            .8200
        300213.9553   .8100
!
!  transition:     33, 14, 20 <--   33, 13, 20
!
        300213.9553   .8100
        300213.9553            .8200
        300213.9553   .8100
!
!  transition:     33, 14, 19 <--   33, 13, 21
!
        300213.9553   .8100
        300213.9553            .8200
        300213.9553   .8100
!
!  transition:     33, 14, 19 <--   33, 13, 20
!
        300213.9553   .8100
        300213.9553            .8200
        300213.9553   .8100
!
!  transition:     34, 14, 21 <--   34, 13, 21
!
        300216.0726   .8100
        300216.0726            .8200
        300216.0726   .8100
!
!  transition:   D 34, 14,    <--   34, 13,   
!
        300216.0726   .8100
        300216.0726            .8200
        300216.0726   .8100
!
!  transition:     34, 14, 20 <--   34, 13, 22
!
        300216.0726   .8100
        300216.0726            .8200
        300216.0726   .8100
!
!  transition:     35, 14, 22 <--   35, 13, 22
!
        300217.7189   .8100
        300217.7189            .8300
        300217.7189   .8100
!
!  transition:   D 35, 14,    <--   35, 13,   
!
        300217.7189   .8100
        300217.7189            .8300
        300217.7189   .8100
!
!  transition:     35, 14, 21 <--   35, 13, 23
!
        300217.7189   .8100
        300217.7189            .8300
        300217.7189   .8100
!
!  transition:     36, 14, 23 <--   36, 13, 23
!
        300218.8486   .8100
        300218.8486            .8200
        300218.8486   .8100
!
!  transition:   D 36, 14,    <--   36, 13,   
!
        300218.8486   .8100
        300218.8486            .8200
        300218.8486   .8100
!
!  transition:     36, 14, 22 <--   36, 13, 24
!
        300218.8486   .8100
        300218.8486            .8200
        300218.8486   .8100
!
